player,games,g,a1,a2,pts,gs_tot,team.x,gs_avg,num_last_first,player_team_num,position,position_type,season,session,team.y,jersey_number,first_name,last_name,year,full_name,team_name,player_id,logo,headshot_url,action_shot_url
JACK.EICHEL,6,0,2,5,7,8.045,BUF,1.2391666666666667,"9 EICHEL, JACK",BUF9,C,F,20202021,R,BUF,9,JACK,EICHEL,20202021,JACK EICHEL,Sabres,8478403,http://content.sportslogos.net/logos/1/4/thumbs/i40oxcdbo7xtfamqqhqachoyo.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8478403.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8478403.jpg
TAYLOR.HALL,6,1,4,1,6,7.875,BUF,1.1875,"4 HALL, TAYLOR",BUF4,L,F,20202021,R,BUF,4,TAYLOR,HALL,20202021,TAYLOR HALL,Sabres,8475791,http://content.sportslogos.net/logos/1/4/thumbs/i40oxcdbo7xtfamqqhqachoyo.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8475791.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8475791.jpg
MARK.SCHEIFELE,6,3,2,4,9,7.84,WPG,1.3770833333333334,"55 SCHEIFELE, MARK",WPG55,C,F,20202021,R,WPG,55,MARK,SCHEIFELE,20202021,MARK SCHEIFELE,Jets,8476460,http://content.sportslogos.net/logos/1/3050/thumbs/z9qyy9xqoxfjn0njxgzoy2rwk.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8476460.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8476460.jpg
MARK.STONE,6,2,4,2,8,7.819999999999999,VGK,1.3041666666666667,"61 STONE, MARK",VGK61,R,F,20202021,R,VGK,61,MARK,STONE,20202021,MARK STONE,Golden Knights,8475913,http://content.sportslogos.net/logos/1/6114/thumbs/611426842018.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8475913.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8475913.jpg
NIKOLAJ.EHLERS,6,4,1,2,7,7.7749999999999995,WPG,1.4291666666666667,"27 EHLERS, NIKOLAJ",WPG27,L,F,20202021,R,WPG,27,NIKOLAJ,EHLERS,20202021,NIKOLAJ EHLERS,Jets,8477940,http://content.sportslogos.net/logos/1/3050/thumbs/z9qyy9xqoxfjn0njxgzoy2rwk.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8477940.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8477940.jpg
PATRICE.BERGERON,5,3,2,1,6,7.75,BOS,1.4675,"37 BERGERON, PATRICE",BOS37,C,F,20202021,R,BOS,37,PATRICE,BERGERON,20202021,PATRICE BERGERON,Bruins,8470638,http://content.sportslogos.net/logos/1/3/thumbs/venf9fmhgnsawnxxvehf.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8470638.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8470638.jpg
WILLIAM.NYLANDER,7,2,3,2,7,7.550000000000001,TOR,0.7842857142857144,"88 NYLANDER, WILLIAM",TOR88,C,F,20202021,R,TOR,88,WILLIAM,NYLANDER,20202021,WILLIAM NYLANDER,Maple Leafs,8477939,http://content.sportslogos.net/logos/1/28/thumbs/2887612017.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8477939.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8477939.jpg
BRAD.MARCHAND,5,3,3,1,7,7.460000000000001,BOS,1.4209999999999998,"63 MARCHAND, BRAD",BOS63,C,F,20202021,R,BOS,63,BRAD,MARCHAND,20202021,BRAD MARCHAND,Bruins,8473419,http://content.sportslogos.net/logos/1/3/thumbs/venf9fmhgnsawnxxvehf.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8473419.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8473419.jpg
JEFF.PETRY,6,2,3,2,7,7.275,MTL,1.25,"26 PETRY, JEFF",MTL26,D,D,20202021,R,MTL,26,JEFF,PETRY,20202021,JEFF PETRY,Canadiens,8473507,http://content.sportslogos.net/logos/1/16/thumbs/124.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8473507.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8473507.jpg
GABRIEL.LANDESKOG,6,3,0,2,5,7.2,COL,1.01,"92 LANDESKOG, GABRIEL",COL92,L,F,20202021,R,COL,92,GABRIEL,LANDESKOG,20202021,GABRIEL LANDESKOG,Avalanche,8476455,http://content.sportslogos.net/logos/1/8/thumbs/64.gif,https://cms.nhl.bamgrid.com/images/headshots/current/168x168/8476455.jpg,https://cms.nhl.bamgrid.com/images/actionshots/8476455.jpg
