package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,repo,source,md5ok,library
colourpicker,1.1.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/colourpicker,NA,FALSE,FALSE,2021-10-04,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
commonmark,1.8.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/commonmark,NA,FALSE,FALSE,2022-03-09,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
conflicted,1.0.4,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/conflicted,NA,FALSE,FALSE,2019-06-21,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
connectwidgets,0.1.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/connectwidgets,NA,FALSE,FALSE,2021-07-23,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
conquer,1.2.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/conquer,NA,FALSE,FALSE,2021-11-01,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
corrplot,0.90,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/corrplot,NA,FALSE,FALSE,2021-06-30,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
countrycode,1.3.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/countrycode,NA,FALSE,FALSE,2021-07-15,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
covr,3.5.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/covr,NA,FALSE,FALSE,2020-09-16,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cowplot,1.1.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cowplot,NA,FALSE,FALSE,2020-12-30,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cpp11,0.4.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cpp11,NA,FALSE,FALSE,2021-11-30,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
crayon,1.5.1,1.5.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/crayon,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/crayon,FALSE,FALSE,2022-03-26,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
credentials,1.3.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/credentials,NA,FALSE,FALSE,2021-11-29,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
crosstalk,1.2.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/crosstalk,NA,FALSE,FALSE,2021-11-04,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
crrri,0.0.13,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/crrri,NA,FALSE,FALSE,2022-01-21,GitHub,Github (rlesur/crrri@69c54e657f117b9e30b6a5475604e1e0c6584150),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
crul,1.1.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/crul,NA,FALSE,FALSE,2021-02-15,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
curl,4.3.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/curl,NA,FALSE,FALSE,2021-06-23,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
cyclocomp,1.1.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/cyclocomp,NA,FALSE,FALSE,2016-09-10,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
dailies,0.1.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dailies,NA,FALSE,FALSE,2022-03-18,GitHub,Github (sellorm/dailies@a079a53df7b04a1a86aa04fb5832a25d2e0f2465),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
data.table,1.14.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/data.table,NA,FALSE,FALSE,2021-09-27,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
datapasta,3.1.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/datapasta,NA,FALSE,FALSE,2021-10-27,GitHub,Github (MilesMcBain/datapasta@69d2a6908ff3402079c4a7d1baaae3ae364cf8fb),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
datardis,0.0.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/datardis,NA,FALSE,FALSE,2021-11-15,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
DBI,1.1.1,1.1.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DBI,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DBI,FALSE,FALSE,2021-01-15,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
dbplyr,2.1.1,2.1.1,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dbplyr,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dbplyr,FALSE,FALSE,2021-04-06,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
desc,1.4.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/desc,NA,FALSE,FALSE,2022-03-06,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
details,0.2.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/details,NA,FALSE,FALSE,2020-01-12,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
devtools,2.4.3.9000,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/devtools,NA,FALSE,FALSE,2022-04-13,GitHub,Github (r-lib/devtools@56875888a507eedb1a92d820ff8c899e065e653c),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
DiagrammeR,1.0.6.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DiagrammeR,NA,FALSE,FALSE,2020-05-08,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
dials,0.0.10,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dials,NA,FALSE,FALSE,2021-09-10,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
DiceDesign,1.9,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DiceDesign,NA,FALSE,FALSE,2021-02-13,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
dichromat,2.0-0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dichromat,NA,FALSE,FALSE,2013-01-24,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
diffobj,0.3.5,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/diffobj,NA,FALSE,FALSE,2021-10-05,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
digest,0.6.29,0.6.29,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/digest,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/digest,FALSE,FALSE,2021-12-01,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
distill,1.3,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/distill,NA,FALSE,FALSE,2021-10-13,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
distributional,0.2.2,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/distributional,NA,FALSE,FALSE,2021-02-02,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
downlit,0.4.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/downlit,NA,FALSE,FALSE,2021-10-29,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
downloader,0.4,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/downloader,NA,FALSE,FALSE,2015-07-09,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
downloadthis,0.3.1,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/downloadthis,NA,FALSE,FALSE,2022-02-23,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
dplyr,1.0.8,1.0.8,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dplyr,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dplyr,TRUE,FALSE,2022-02-08,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
DT,0.22,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/DT,NA,FALSE,FALSE,2022-03-28,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
dtplyr,1.1.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dtplyr,NA,FALSE,FALSE,2021-02-20,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
duckdb,0.3.0,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/duckdb,NA,FALSE,FALSE,2021-10-08,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
dygraphs,1.1.1.6,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/dygraphs,NA,FALSE,FALSE,2018-07-11,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
e1071,1.7-9,NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/e1071,NA,FALSE,FALSE,2021-09-16,CRAN,CRAN (R 4.1.1),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
ellipsis,0.3.2,0.3.2,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ellipsis,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/ellipsis,FALSE,FALSE,2021-04-29,CRAN,CRAN (R 4.1.0),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
emo,0.0.0.9000,0.0.0.9000,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/emo,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library/emo,FALSE,FALSE,2021-10-27,GitHub,Github (hadley/emo@3f03b11491ce3d6fc5601e210927eff73bf8e350),NA,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/library
