year,conf,team_name,abb_name,logos,win_percent,differential
2016,NFC,Rams,LAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,0.25,-170
2016,NFC,Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,0.1875,-120
2016,NFC,49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,0.125,-171
2017,AFC,Patriots,NE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,0.8125,162
2017,AFC,Steelers,PIT,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,0.8125,98
2017,AFC,Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,0.625,149
2017,AFC,Chiefs,KC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/kc.png,0.625,76
2017,AFC,Titans,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,0.5625,-22
2017,AFC,Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,0.5625,-57
2017,AFC,Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,0.5625,92
2017,AFC,Chargers,LAC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png,0.5625,83
2017,AFC,Bengals,CIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,0.4375,-59
2017,AFC,Raiders,OAK,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,0.375,-72
2017,AFC,Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,0.375,-112
2017,AFC,Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,0.3125,-93
2017,AFC,Jets,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,0.3125,-84
2017,AFC,Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,0.25,-141
2017,AFC,Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,0.25,-98
2017,AFC,Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,0,-176
2017,NFC,Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,0.8125,162
2017,NFC,Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,0.8125,130
2017,NFC,Rams,LAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,0.6875,149
2017,NFC,Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,0.6875,122
2017,NFC,Panthers,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,0.6875,36
2017,NFC,Falcons,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,0.625,38
2017,NFC,Lions,DET,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,0.5625,34
2017,NFC,Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,0.5625,34
2017,NFC,Cowboys,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,0.5625,22
2017,NFC,Cardinals,ARI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ari.png,0.5,-66
2017,NFC,Packers,GB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,0.4375,-64
2017,NFC,Redskins,WSH,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,0.4375,-46
2017,NFC,49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,0.375,-52
2017,NFC,Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,0.3125,-47
2017,NFC,Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,0.3125,-56
2017,NFC,Giants,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,0.1875,-142
2018,AFC,Chiefs,KC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/kc.png,0.75,144
2018,AFC,Chargers,LAC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lac.png,0.75,99
2018,AFC,Patriots,NE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,0.6875,111
2018,AFC,Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,0.6875,86
2018,AFC,Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,0.625,102
2018,AFC,Colts,IND,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ind.png,0.625,89
2018,AFC,Steelers,PIT,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/pit.png,0.59375,68
2018,AFC,Titans,TEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ten.png,0.5625,7
2018,AFC,Browns,CLE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cle.png,0.46875,-33
2018,AFC,Dolphins,MIA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/mia.png,0.4375,-114
2018,AFC,Broncos,DEN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/den.png,0.375,-20
2018,AFC,Bengals,CIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/cin.png,0.375,-87
2018,AFC,Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,0.375,-105
2018,AFC,Jaguars,JAX,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/jax.png,0.3125,-71
2018,AFC,Jets,NYJ,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyj.png,0.25,-108
2018,AFC,Raiders,OAK,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/oak.png,0.25,-177
2018,NFC,Saints,NO,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/no.png,0.8125,151
2018,NFC,Rams,LAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/lar.png,0.8125,143
2018,NFC,Bears,CHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/chi.png,0.75,138
2018,NFC,Cowboys,DAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/dal.png,0.625,15
2018,NFC,Seahawks,SEA,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sea.png,0.625,81
2018,NFC,Eagles,PHI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/phi.png,0.5625,19
2018,NFC,Vikings,MIN,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/min.png,0.53125,19
2018,NFC,Falcons,ATL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/atl.png,0.4375,-9
2018,NFC,Redskins,WSH,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/wsh.png,0.4375,-78
2018,NFC,Panthers,CAR,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/car.png,0.4375,-6
2018,NFC,Packers,GB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/gb.png,0.40625,-24
2018,NFC,Lions,DET,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/det.png,0.375,-36
2018,NFC,Giants,NYG,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/nyg.png,0.3125,-43
2018,NFC,Buccaneers,TB,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/tb.png,0.3125,-68
2018,NFC,49ers,SF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/sf.png,0.25,-93
2018,NFC,Cardinals,ARI,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ari.png,0.1875,-200
2019,AFC,Ravens,BAL,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/bal.png,0.875,249
2019,AFC,Chiefs,KC,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/kc.png,0.75,143
2019,AFC,Patriots,NE,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/ne.png,0.75,195
2019,AFC,Texans,HOU,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/hou.png,0.625,-7
2019,AFC,Bills,BUF,https://a.espncdn.com/i/teamlogos/nfl/500/scoreboard/buf.png,0.625,55
